noun,support,len,variation,is_human_related
salteadora,salteador,10,4,True
historiadores,historiador,13,4,True
historiadoras,historiador,13,4,True
historiadora,historiador,12,4,True
historiador,historiador,11,4,True
avalizadores,avalizador,12,4,True
avalizadoras,avalizador,12,4,True
avalizadora,avalizador,11,4,True
avalizador,avalizador,10,4,True
atravessador,atravessador,12,4,True
avaliadores,avaliador,11,4,True
atravessadora,atravessador,13,4,True
atravessadoras,atravessador,14,4,True
salvadores,salvador,10,4,True
semeador,semeador,8,4,True
semeadora,semeador,9,4,True
semeadoras,semeador,10,4,True
semeadores,semeador,10,4,True
arruadores,arruador,10,4,True
historiografas,historiografo,14,4,True
historiografa,historiografo,13,4,True
arruadoras,arruador,10,4,True
arruadora,arruador,9,4,True
arruador,arruador,8,4,True
semideus,semideus,8,4,True
semideusa,semideus,9,4,True
semideusas,semideus,10,4,True
sociologa,sociologo,9,4,True
sociologas,sociologo,10,4,True
sociologo,sociologo,9,4,True
sociologos,sociologo,10,4,True
atravessadores,atravessador,14,4,True
avaliadoras,avaliador,11,4,True
avaliadora,avaliador,10,4,True
avaliador,avaliador,9,4,True
salvadoras,salvador,10,4,True
salvadora,salvador,9,4,True
salvador,salvador,8,4,True
envenenadora,envenenador,12,4,True
seguidilheira,seguidilheiro,13,4,True
envenenador,envenenador,11,4,True
seguidilheiras,seguidilheiro,14,4,True
seguidilheiro,seguidilheiro,13,4,True
seguidilheiros,seguidilheiro,14,4,True
seguidor,seguidor,8,4,True
seguidora,seguidor,9,4,True
seguidoras,seguidor,10,4,True
seguidores,seguidor,10,4,True
envenenadoras,envenenador,13,4,True
envenenadores,envenenador,13,4,True
igualitarios,igualitario,12,4,True
hondurenhos,hondurenho,11,4,True
hondurenho,hondurenho,10,4,True
sifiliticos,sifilitico,11,4,True
sifilitico,sifilitico,10,4,True
hondurenhas,hondurenho,11,4,True
hondurenha,hondurenho,10,4,True
sifiliticas,sifilitico,11,4,True
sifilitica,sifilitico,10,4,True
igualitaria,igualitario,11,4,True
igualitarias,igualitario,12,4,True
igualitario,igualitario,11,4,True
enumeradores,enumerador,12,4,True
enumeradoras,enumerador,12,4,True
segurados,segurado,9,4,True
enumeradora,enumerador,11,4,True
infanta,infante,7,4,True
enumerador,enumerador,10,4,True
infantas,infante,8,4,True
infante,infante,7,4,True
segurado,segurado,8,4,True
atendedor,atendedor,9,4,True
atendedoras,atendedor,11,4,True
atendedores,atendedor,11,4,True
segurada,segurado,8,4,True
seguradas,segurado,9,4,True
atendedora,atendedor,10,4,True
ataviador,ataviador,9,4,True
ataviadora,ataviador,10,4,True
ataviadoras,ataviador,11,4,True
segeiros,segeiro,8,4,True
incendiarios,incendiario,12,4,True
incendiario,incendiario,11,4,True
incendiarias,incendiario,12,4,True
incendiaria,incendiario,11,4,True
incensador,incensador,10,4,True
signatario,signatario,10,4,True
signatarias,signatario,11,4,True
signataria,signatario,10,4,True
ateia,ateu,5,4,True
ateias,ateu,6,4,True
signatarios,signatario,11,4,True
ataviadores,ataviador,11,4,True
seleccionador,seleccionador,13,4,True
seleccionadora,seleccionador,14,4,True
seleccionadoras,seleccionador,15,4,True
seleccionadores,seleccionador,15,4,True
siberianos,siberiano,10,4,True
siberiano,siberiano,9,4,True
sanfoneiras,sanfoneiro,11,4,True
escutadoras,escutador,11,4,True
escutadores,escutador,11,4,True
sanfoneira,sanfoneiro,10,4,True
escuteira,escuteiro,9,4,True
ilheu,ilheu,5,4,True
siberianas,siberiano,10,4,True
ilheus,ilheu,6,4,True
escuteiro,escuteiro,9,4,True
escuteiros,escuteiro,10,4,True
escuteiras,escuteiro,10,4,True
sanfoneiro,sanfoneiro,10,4,True
siberiana,siberiano,9,4,True
iliterata,iliterato,9,4,True
iliteratas,iliterato,10,4,True
iliterato,iliterato,9,4,True
iliteratos,iliterato,10,4,True
sanfoneiros,sanfoneiro,11,4,True
siciliana,siciliano,9,4,True
escutadora,escutador,10,4,True
iletrada,iletrado,8,4,True
iletradas,iletrado,9,4,True
iletrado,iletrado,8,4,True
aviadores,aviador,9,4,True
aviadoras,aviador,9,4,True
aviadora,aviador,8,4,True
aviador,aviador,7,4,True
iletrados,iletrado,9,4,True
ateu,ateu,4,4,True
soberana,soberano,8,4,True
infantes,infante,8,4,True
esculpidor,esculpidor,10,4,True
esculpidora,esculpidor,11,4,True
esculpidoras,esculpidor,12,4,True
esculpidores,esculpidor,12,4,True
escultor,escultor,8,4,True
escultora,escultor,9,4,True
escultoras,escultor,10,4,True
sangradores,sangrador,11,4,True
sangradoras,sangrador,11,4,True
sangradora,sangrador,10,4,True
sangrador,sangrador,9,4,True
escultores,escultor,10,4,True
soberanas,soberano,9,4,True
soberano,soberano,8,4,True
soberanos,soberano,9,4,True
ilhoa,ilheu,5,4,True
ilhoas,ilheu,6,4,True
sicilianos,siciliano,10,4,True
siciliano,siciliano,9,4,True
